so_luot_yeu_thich,so_luot_danh_gia,so_luong_ban,ten_nguoi_ban,diem_danh_gia,nganh_hang
1100.0,1600.0,1600.0,evernude,4.8,Shopee | Health & Beauty | Brushes & Beauty Tools | Brushes & Sponges
1600.0,1600.0,1600.0,deenlva,4.8,Shopee | Mobile & Accessories | Powerbanks & Batteries | Powerbanks
5700.0,636.0,636.0,xuongmaykieuanhnd.my,4.5,Shopee | Women Clothes | Skirts | Mini Skirts
7100.0,3300.0,3300.0,belladream,4.8,Shopee | Health & Beauty | Brushes & Beauty Tools | Brushes & Sponges
918.0,4300.0,4300.0,haileybeautystore,4.9,Shopee | Health & Beauty | Medical Supplies | Ointments & Cream
9800.0,6000.0,6000.0,thebeautystreet,4.8,Shopee | Health & Beauty | Brushes & Beauty Tools | Slimmers & Massagers
8.0,26.0,26.0,pandaminimart,5.0,Shopee | Mobile & Accessories | Others | Others
138.0,5.0,5.0,shopatvelvet.os,5.0,Shopee | Women Clothes | Sleepwear & Pajamas | Kimonos & Robes
427.0,965.0,965.0,sales.printjc,4.9,Shopee | Women Clothes | Maternity Wear | Innerwear
265.0,143.0,143.0,babykoko.my,4.7,Shopee | Men Clothes | Suits | Suit Vests & Waistcoats
315.0,167.0,167.0,novatech,4.9,Shopee | Mobile & Accessories | Mobile Phones | Vivo
80.0,221.0,221.0,frenz1238,4.8,Shopee | Health & Beauty | Sun Care | Body Sunscreen & After Sun
3100.0,7900.0,7900.0,garniermy,4.9,Shopee | Health & Beauty | Skincare | Essence & Serum
515.0,744.0,744.0,cmhtradingbusiness,4.9,Shopee | Health & Beauty | OTC Medicine | Traditional Medications
33.0,150.0,150.0,smallpharmacy,5.0,Shopee | Health & Beauty | OTC Medicine | Fever & Painkillers
9.0,34.0,34.0,ccstore1375,4.8,Shopee | Automotive | Car Replacement Parts | Windscreen Wipers & Windows
1700.0,194.0,194.0,vinsonpang0.0,4.9,Shopee | Women Shoes | Boots | Rain Boots
55.0,209.0,209.0,chococo.my,5.0,"Shopee | Baby & Toys | Kids Health & Skincare | Moisturizers, Creams & Ointments"
788.0,1200.0,1200.0,malaysia.brand,4.9,Shopee | Home & Living | Housekeeping & Laundry | Clothes Hanger & Drying Racks
370.0,84.0,84.0,scshop.my,4.7,Shopee | Women's Bags | Waist Bags | Waist Bags
401.0,752.0,752.0,supersports,4.9,Shopee | Women's Bags | Waist Bags | Waist Bags
5.0,9.0,9.0,stanlaiby.my,4.9,Shopee | Women Shoes | Others | Others
2100.0,3200.0,3200.0,muslinswaddle,4.9,Shopee | Baby & Toys | Nursery | Blankets & Wrappers
43.0,65.0,65.0,spamakcikkampung,5.0,Shopee | Baby & Toys | Maternity Care | Others
120.0,139.0,139.0,khairol91,4.9,Shopee | Men Shoes | Sneakers | Low Tops
420.0,3100.0,3100.0,jjsports.,5.0,Shopee | Sports & Outdoor | Badminton | Others
889.0,2500.0,2500.0,babybaju,4.9,Shopee | Baby & Toys | Maternity Care | Others
25700.0,84800.0,84800.0,kunofficial,4.9,Shopee | Home & Living | Bedding | Bedding Sets & Sheets
5300.0,4700.0,4700.0,merryhouz,4.7,Shopee | Home & Living | Kitchen Storage | Kitchen Racks & Organizers
227.0,452.0,452.0,royaltech,4.9,Shopee | Home Appliances | Landline Phones | Cordless Phone
2300.0,5600.0,5600.0,cooking_monster,5.0,Shopee | Home & Living | Kitchen & Dining | Bakeware
205.0,255.0,255.0,afberkatborneo,5.0,Shopee | Baby & Toys | Maternity Care | Postnatal Care & Supplements
219.0,209.0,209.0,global.pro,4.9,Shopee | Home & Living | Lighting | Specialty Lighting
299.0,136.0,136.0,orotone.my,4.7,Shopee | Men Clothes | Suits | Suit Vests & Waistcoats
742.0,1900.0,1900.0,summerglitzfashion,4.9,Shopee | Women Clothes | Maternity Wear | Maternity Bottoms
3500.0,3400.0,3400.0,happyho.my,4.9,Shopee | Women Clothes | Socks & Tights | Calf & Thigh
13500.0,3200.0,3200.0,beautifulcabin,4.8,Shopee | Women Clothes | Pants & Shorts | Jeans
3900.0,7200.0,7200.0,pandashop990,4.8,Shopee | Men Clothes | Pants | Jeans
623.0,509.0,509.0,dollup_penang,5.0,Shopee | Fashion Accessories | Hair Accessories | Hairties
5600.0,10800.0,10800.0,lds_official,4.8,Shopee | Home & Living | Furniture | Desks & Tables
1200.0,886.0,886.0,kebayabali_id.my,4.9,Shopee | Women Clothes | Traditional Wear | Tops
758.0,2100.0,2100.0,bakerer,5.0,Shopee | Home & Living | Kitchen & Dining | Knives & Sharpeners
692.0,1700.0,1700.0,aishah_fabric,4.9,Shopee | Muslim Fashion | Inner | Inner Tudung
987.0,800.0,800.0,idronation,4.9,Shopee | Home & Living | Lighting | Specialty Lighting
6000.0,6700.0,6700.0,supersave4u,4.9,Shopee | Home & Living | Bedding | Covers & Protectors
2600.0,1300.0,1300.0,renodapur,4.8,Shopee | Home & Living | Kitchen & Dining | Cookware
56.0,181.0,181.0,cosmetic.mobile,4.9,Shopee | Health & Beauty | Sun Care | Body Sunscreen & After Sun
106.0,238.0,238.0,ljc956323.my,4.9,Shopee | Home Appliances | Small Kitchen Appliances | Juicers & Fruit Extractors
1100.0,5100.0,5100.0,cellcare,4.9,Shopee | Mobile & Accessories | Cool Gadgets | Others
11700.0,6600.0,6600.0,butikcasual.my,4.9,Shopee | Women Clothes | Skirts | Mini Skirts
8800.0,33000.0,33000.0,nursingbra520,4.9,Shopee | Women Clothes | Maternity Wear | Innerwear
117.0,198.0,198.0,klchin_shop,4.6,Shopee | Mobile & Accessories | Mobile Phones | Other Brands
1000.0,73.0,73.0,realme_os,4.8,Shopee | Mobile & Accessories | Mobile Phones | Realme
539.0,487.0,487.0,numbuzin.os,4.9,Shopee | Health & Beauty | Skincare | Moisturizer & Cream
40.0,89.0,89.0,laza_mall,4.9,Shopee | Home Appliances | Home Entertainment | Amplifiers & Receivers
951.0,860.0,860.0,myamira2u,5.0,Shopee | Health & Beauty | Skincare | Essence & Serum
418.0,927.0,927.0,epanda,4.8,Shopee | Home & Living | Housekeeping & Laundry | Clothes Hanger & Drying Racks
100.0,63.0,63.0,hwj888.my,4.8,Shopee | Home & Living | Home Storage & Organization | Tissue Boxes & Holders
26.0,87.0,87.0,angelmommysportbra,4.9,Shopee | Baby & Toys | Feeding & Nursing | Teethers & Pacifiers
16800.0,15200.0,15200.0,eqplusmkt,5.0,Shopee | Home & Living | Bedding | Pillows & Bolsters
402.0,1400.0,1400.0,one88shoppingmall,4.9,Shopee | Baby & Toys | Baby Safety | Bumper & Corner Guards
121.0,115.0,115.0,koteki1606,4.9,Shopee | Home & Living | Kitchen Storage | Food Storage & Dispensers
27.0,173.0,173.0,global.pro,5.0,Shopee | Home Appliances | Small Kitchen Appliances | Others
2100.0,1600.0,1600.0,nurjiha_kekbuahkukus,5.0,Shopee | Groceries & Pets | Bakery | Cakes & Pies
1200.0,2500.0,2500.0,narayajgifthouse,4.9,"Shopee | Home & Living | Home Storage & Organization | Storage Boxes, Bags & Baskets"
124.0,399.0,399.0,bestandbuy,4.9,Shopee | Groceries & Pets | Household Supplies | Liquid Detergent
480.0,155.0,155.0,valcotrading,4.9,Shopee | Groceries & Pets | Household Supplies | Liquid Detergent
58.0,51.0,51.0,wisdomest.my,4.8,Shopee | Home Appliances | Sewing Machines | Sewing Machines and Accessories
10.0,38.0,38.0,huggies.os,4.9,Shopee | Baby & Toys | Diapers & Potties | Disposable Diapers
5700.0,3800.0,3800.0,cikgu_rosmah,4.9,Shopee | Muslim Fashion | Inner | Hand Socks
388.0,396.0,396.0,therisestreetwear,5.0,Shopee | Fashion Accessories | Hats & Caps | Others
1.0,14.0,14.0,esegar.os,5.0,Shopee | Gaming & Consoles | Others | Others
282.0,9.0,9.0,adnaa.hq,4.9,Shopee | Women Clothes | Traditional Wear | Ethnic Wear
16.0,120.0,120.0,zlingerie.my,4.7,Shopee | Men Clothes | Innerwear | Briefs
2100.0,14.0,14.0,mayaharisabymh,4.9,Shopee | Women Clothes | Traditional Wear | Ethnic Wear
48.0,48.0,48.0,twinstore,4.7,Shopee | Men Clothes | Innerwear | Briefs
6200.0,16600.0,16600.0,momohouse.os,5.0,Shopee | Women Clothes | Maternity Wear | Others
4200.0,1100.0,1100.0,wmweimei.my,4.8,Shopee | Women Clothes | Skirts | Mini Skirts
5900.0,12400.0,12400.0,abdullahabrar53,4.8,Shopee | Men Clothes | Pants | Chinos Pant
3500.0,7800.0,7800.0,pinengmalaysia.os,4.9,Shopee | Mobile & Accessories | Powerbanks & Batteries | Powerbanks
1200.0,2700.0,2700.0,tyqhrhmn22,4.8,Shopee | Mobile & Accessories | Screen Protectors | Android Screen Protectors
169.0,76.0,76.0,zhxhyh.my,5.0,Shopee | Women Clothes | Maternity Wear | Innerwear
